CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M0420","Large heap allocators (current)","","Pool/L/llang/Debuggee (56 GB)","none","X"," 1999997"
"M0421","Large heap allocators (short-term)","","Pool/L/llang/Debuggee (56 GB)","none","X"," 1999997"
"M0422","Large heap allocators (long-term)","","Pool/L/llang/Debuggee (255 GB)","none","X"," 1999997"
"M0423","Heap areas with potential memory leak","","Pool/ResourceContainer (1->11 GB)","none","X"," 1999997"
"M0425","Pool/RowEngine/CpbTree leak size (GB)","","0.11","<= 20.00",""," 1999997"
"M0426","Row store table leak size (GB)","","0.00","<= 20.00",""," 2362759"
"M0430","Number of low memory unloads (short-term)","","0","0",""," 2127458"
"M0435","Number of shrink unloads (short-term)","","0","<= 1000",""," 2127458"
"M0437","Size of unloaded columns (% / day, long-term)","","86.50","<= 3.00","X"," 2127458"
"M0438","Memory reclaim activity (s / day)","erphana02","2305","<= 1200","X"," 1999997"
"M0439","Memory reclaim maximum duration (s)","erphana02","6","<= 60",""," 1999997"
"M0440","Shared memory utilization of nameserver (%)","erphana02","19","<= 70",""," 1977101"
"M0445","Number of OOM events (short-term)","","0","0",""," 1999997"
"M0450","Tables with memory LOBs > 2 GB","","0","0",""," 1994962"
"M0452","Size of unique indexes (%)","","2.33","<= 15.00",""," 2160391"
"M0454","Size of non-unique concat attributes (%)","","0.00","<= 5.00",""," 1986747"
"M0455","Unused large non-unique concat attributes","","none","none",""," 1986747"
"M0460","Calc engine cache utilization (%)","","22","<= 70",""," 2000002"
"M0462","Caches with large size","","none","none",""," 2502256"
"M0470","Heap allocators with many instantiations","","none","none",""," 1999997"
"M0472","Booked vs. allocated memory (%)","","n/a","<= 200",""," 1999997"
"M0480","Address space utilization (%)","erphana02","1","<= 80",""," 1999997"
"","","","","","",""
"****","TABLES","","","","",""
"","","","","","",""
"M0510","Tables with > 100 partitions","","0","0",""," 2044468"
"M0511","Tables with many columns","","none","none",""," 1999997"
"M0512","Hash partitioning on multiple columns","","n/a","0",""," 2044468"
"M0515","Partitioned tables with inverted hash indexes","","0","0",""," 2436619"
"M0519","Tables with large overflow partition","","none","none",""," 2044468"
"M0520","Tables / partitions > 1.5 billion rows","","0","0",""," 1921694"
"M0521","Table histories > 1.5 billion rows","","0","0",""," 1921694"
"M0522","Tables / partitions > 1.5 billion UDIV rows","","0","0",""," 2112604"
"M0523","Columns with many distinct text tokens","","none","none",""," 2154870"
"M0525","Tables / partitions with large memory size","","none","none",""," 2044468"
