CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M2210","SDA tables without statistics","","0","0",""," 2180119"
"M2220","SDI remote subscription exceptions","","0","0",""," 2400022"
"M2222","SDI max. remote subscription apply delay (s)","","0","<= 300",""," 2400022"
"M2230","Slave nodes with dpserver processes","","0","0",""," 2391341"
"M2240","Avg. SDI source select sessions (short-term)","","0.00","<= 0.50",""," 2400022"
"M2250","Max. dpagent phys. memory consumption (%)","","n/a","<= 80.00",""," 2400022"
"","","","","","",""
"****","ADMINISTRATION","","","","",""
"","","","","","",""
"M2310","SAP HANA Studio connections","","3","<= 100",""," 2073112"
"M2315","Connections with old SAP HANA Studio versions","","0","0",""," 2073112"
"M2330","Parameters set on host level","","none","none",""," 2186744"
"M2332","Parameter changes requiring a SAP HANA restart","","none","none",""," 2186744"
"M2334","Unsupported parameter settings","","none","none",""," 2186744"
"M2340","Deprecated features used (long-term)","","REPOSITORY - API","none","X"," 2425002"
"","","","","","",""
"****","TABLE REPLICATION","","","","",""
"","","","","","",""
"M2410","Inactive table replicas","","0","0",""," 2340450"
"M2415","Last table replication deactivation dump (days)","","never",">= 7.00",""," 2400007"
"","","","","","",""
"****","SLT","","","",""," 2014562"
"","","","","","",""
"M2510","Orphan SLT sequences","","0","0",""," 2600095"
"","","","","","",""
"****","ENTERPRISE SEARCH","","","","",""
"","","","","","",""
"M2610","Orphan calculated ESH columns","","0","0",""," 2638994"
"","","","","","",""
"****","END OF CHECK","","","","",""
