종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 3, 평단 : 52000, 매입액 : 156000, 손액 : 7057, 손익 : 4.52
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 6, 평단 : 15010, 매입액 : 90060, 손액 : 1032, 손익 : 1.14
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 3, 평단 : 28355, 매입액 : 85065, 손액 : 1032, 손익 : 1.21
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 4, 평단 : 21880, 매입액 : 87520, 손액 : 362, 손익 : 0.41
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 52, 평단 : 12751, 매입액 : 663055, 손액 : 2403, 손익 : 0.36
종목번호 : 236350, 종목명 : TIGER 인도니프티50레, 잔고수량 : 23, 평단 : 12469, 매입액 : 286795, 손액 : -1195, 손익 : -0.41
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 19, 평단 : 5430, 매입액 : 103175, 손액 : -2591, 손익 : -2.51
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 23, 평단 : 3919, 매입액 : 90140, 손액 : -3448, 손익 : -3.82

총 주문수량 : 39, 총 체결수량 : 34, 총 주문금액 : 643845, 총 매수액 : 216865, 총 매도액 : 426980
주문번호 : 110162, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3745, 체결수량 : 0, 잔량 : 3, 상태 : 접수, 시간 : 15052064
주문번호 : 84093, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5260, 체결수량 : 0, 잔량 : 2, 상태 : 접수, 시간 : 13104962
주문번호 : 83099, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3730, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 13033945
주문번호 : 63272, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3740, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 11021789
주문번호 : 58525, 종목번호 : 204480, 구분 : 매수, 주문수량 : 3, 가격 : 28355, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 10465270
주문번호 : 54555, 종목번호 : 204480, 구분 : 매도, 주문수량 : 12, 가격 : 28295, 체결수량 : 12, 잔량 : 0, 상태 : 체결, 시간 : 10344403
주문번호 : 46645, 종목번호 : 225040, 구분 : 매수, 주문수량 : 4, 가격 : 21880, 체결수량 : 4, 잔량 : 0, 상태 : 체결, 시간 : 10100595
주문번호 : 46233, 종목번호 : 225040, 구분 : 매도, 주문수량 : 4, 가격 : 21860, 체결수량 : 4, 잔량 : 0, 상태 : 체결, 시간 : 10083356
주문번호 : 27215, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5280, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 09261006
주문번호 : 10280, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3770, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 09010383
