종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 3, 평단 : 52000, 매입액 : 156000, 손액 : 14238, 손익 : 9.12
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 6, 평단 : 15490, 매입액 : 92940, 손액 : 1240, 손익 : 1.33
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 3, 평단 : 28355, 매입액 : 85065, 손액 : -2072, 손익 : -2.43
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 4, 평단 : 21880, 매입액 : 87520, 손액 : -58, 손익 : -0.06
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 52, 평단 : 12751, 매입액 : 663055, 손액 : -13456, 손익 : -2.02
종목번호 : 236350, 종목명 : TIGER 인도니프티50레, 잔고수량 : 7, 평단 : 12685, 매입액 : 88795, 손액 : -333, 손익 : -0.37
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 19, 평단 : 5430, 매입액 : 103175, 손액 : -1167, 손익 : -1.13
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 32, 평단 : 3852, 매입액 : 123275, 손액 : -6980, 손익 : -5.66

총 주문수량 : 65, 총 체결수량 : 65, 총 주문금액 : 784890, 총 매수액 : 304855, 총 매도액 : 480035
주문번호 : 133386, 종목번호 : 236350, 구분 : 매수, 주문수량 : 7, 가격 : 12685, 체결수량 : 7, 잔량 : 0, 상태 : 체결, 시간 : 14454706
주문번호 : 106176, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3650, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 13030885
주문번호 : 105533, 종목번호 : 236350, 구분 : 매도, 주문수량 : 7, 가격 : 13000, 체결수량 : 7, 잔량 : 0, 상태 : 체결, 시간 : 13015529
주문번호 : 101324, 종목번호 : 236350, 구분 : 매수, 주문수량 : 7, 가격 : 12855, 체결수량 : 7, 잔량 : 0, 상태 : 체결, 시간 : 12440573
주문번호 : 101102, 종목번호 : 236350, 구분 : 매도, 주문수량 : 23, 가격 : 12875, 체결수량 : 23, 잔량 : 0, 상태 : 체결, 시간 : 12424080
주문번호 : 73289, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3660, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 11013382
주문번호 : 42539, 종목번호 : 123320, 구분 : 매수, 주문수량 : 6, 가격 : 15490, 체결수량 : 6, 잔량 : 0, 상태 : 체결, 시간 : 09424659
주문번호 : 42044, 종목번호 : 123320, 구분 : 매도, 주문수량 : 6, 가격 : 15485, 체결수량 : 6, 잔량 : 0, 상태 : 체결, 시간 : 09412451
주문번호 : 10894, 종목번호 : 252670, 구분 : 매수, 주문수량 : 3, 가격 : 3735, 체결수량 : 3, 잔량 : 0, 상태 : 체결, 시간 : 09005574
