종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 3, 평단 : 52000, 매입액 : 156000, 손액 : 4065, 손익 : 2.60
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 6, 평단 : 14550, 매입액 : 87300, 손액 : 1182, 손익 : 1.35
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 12, 평단 : 27410, 매입액 : 328920, 손액 : 1850, 손익 : 0.56
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 30, 평단 : 20611, 매입액 : 618340, 손액 : 9127, 손익 : 1.47
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 52, 평단 : 12751, 매입액 : 663055, 손액 : 14621, 손익 : 2.20
종목번호 : 236350, 종목명 : TIGER 인도니프티50레, 잔고수량 : 23, 평단 : 12469, 매입액 : 286795, 손액 : -10279, 손익 : -3.58
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 17, 평단 : 5447, 매입액 : 92615, 손액 : -3129, 손익 : -3.37
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 12, 평단 : 4060, 매입액 : 48730, 손액 : -2120, 손익 : -4.35

총 주문수량 : 29, 총 체결수량 : 25, 총 주문금액 : 244870, 총 매수액 : 142740, 총 매도액 : 102130
주문번호 : 115748, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 3875, 체결수량 : 0, 잔량 : 2, 상태 : 접수, 시간 : 15062178
주문번호 : 115697, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5250, 체결수량 : 0, 잔량 : 2, 상태 : 접수, 시간 : 15061625
주문번호 : 84277, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5260, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 13052944
주문번호 : 84154, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 3915, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 13041671
주문번호 : 61112, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5285, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 11032598
주문번호 : 60718, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 3935, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 11021326
주문번호 : 45575, 종목번호 : 123320, 구분 : 매수, 주문수량 : 6, 가격 : 14550, 체결수량 : 6, 잔량 : 0, 상태 : 체결, 시간 : 10030614
주문번호 : 45189, 종목번호 : 123320, 구분 : 매도, 주문수량 : 7, 가격 : 14590, 체결수량 : 7, 잔량 : 0, 상태 : 체결, 시간 : 10013592
주문번호 : 11366, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 4015, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 09011504
주문번호 : 11223, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5310, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 09010953
