종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 3, 평단 : 52000, 매입액 : 156000, 손액 : 475, 손익 : 0.30
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 7, 평단 : 14160, 매입액 : 99120, 손액 : -335, 손익 : -0.33
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 12, 평단 : 27410, 매입액 : 328920, 손액 : -10749, 손익 : -3.26
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 30, 평단 : 20611, 매입액 : 618340, 손액 : -15471, 손익 : -2.50
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 52, 평단 : 12751, 매입액 : 663055, 손액 : -6956, 손익 : -1.04
종목번호 : 236350, 종목명 : TIGER 인도니프티50레, 잔고수량 : 23, 평단 : 12469, 매입액 : 286795, 손액 : -17754, 손익 : -6.18
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 11, 평단 : 5536, 매입액 : 60905, 손액 : -1902, 손익 : -3.12
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 6, 평단 : 4166, 매입액 : 25000, 손액 : -614, 손익 : -2.45

총 주문수량 : 65, 총 체결수량 : 63, 총 주문금액 : 827930, 총 매수액 : 247780, 총 매도액 : 580150
주문번호 : 95740, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5365, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 14090933
주문번호 : 86379, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 4030, 체결수량 : 0, 잔량 : 2, 상태 : 접수, 시간 : 13093481
주문번호 : 72725, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5425, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 12074240
주문번호 : 62120, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 4055, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 11030190
주문번호 : 19499, 종목번호 : 123320, 구분 : 매수, 주문수량 : 7, 가격 : 14160, 체결수량 : 7, 잔량 : 0, 상태 : 체결, 시간 : 09110248
주문번호 : 18128, 종목번호 : 225040, 구분 : 매수, 주문수량 : 5, 가격 : 20000, 체결수량 : 5, 잔량 : 0, 상태 : 체결, 시간 : 09092816
주문번호 : 11192, 종목번호 : 252670, 구분 : 매수, 주문수량 : 2, 가격 : 4055, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 09010318
주문번호 : 11084, 종목번호 : 251340, 구분 : 매수, 주문수량 : 2, 가격 : 5430, 체결수량 : 2, 잔량 : 0, 상태 : 체결, 시간 : 09005776
주문번호 : 10885, 종목번호 : 123320, 구분 : 매도, 주문수량 : 41, 가격 : 14150, 체결수량 : 41, 잔량 : 0, 상태 : 체결, 시간 : 09004690
