종목번호 : 005387, 종목명 : 현대차2우B, 잔고수량 : 4, 평단 : 110500, 매입액 : 442000, 손액 : 2843, 손익 : 0.64
종목번호 : 005935, 종목명 : 삼성전자우, 잔고수량 : 2, 평단 : 71900, 매입액 : 143800, 손액 : 1823, 손익 : 1.26
종목번호 : 091990, 종목명 : 셀트리온헬스케어, 잔고수량 : 188, 평단 : 159244, 매입액 : 29938000, 손액 : -7250222, 손익 : -24.21
종목번호 : 123320, 종목명 : TIGER 레버리지, 잔고수량 : 19, 평단 : 25758, 매입액 : 489415, 손액 : 12987, 손익 : 2.65
종목번호 : 204480, 종목명 : TIGER 차이나CSI300레, 잔고수량 : 16, 평단 : 34707, 매입액 : 555315, 손액 : -3480, 손익 : -0.62
종목번호 : 225040, 종목명 : TIGER 미국S&P500레버, 잔고수량 : 3, 평단 : 30170, 매입액 : 90510, 손액 : 469, 손익 : 0.51
종목번호 : 233160, 종목명 : TIGER 코스닥150 레버, 잔고수량 : 101, 평단 : 15633, 매입액 : 1579015, 손액 : -56904, 손익 : -3.60
종목번호 : 251340, 종목명 : KODEX 코스닥150선물?, 잔고수량 : 34, 평단 : 5130, 매입액 : 174435, 손액 : -18254, 손익 : -10.46
종목번호 : 252670, 종목명 : KODEX 200선물인버스2, 잔고수량 : 69, 평단 : 3165, 매입액 : 218390, 손액 : -82857, 손익 : -37.93

﻿총 주문수량 : , 총 체결수량 : , 총 주문금액 : , 총 매수액 : , 총 매도액 : 
