,new_dates,kospi
0,2023.09.15,2601.0
1,2023.09.14,2572.0
2,2023.09.13,2534.0
3,2023.09.12,2536.0
4,2023.09.11,2556.0
5,2023.09.08,2547.0
6,2023.09.07,2548.0
7,2023.09.06,2563.0
8,2023.09.05,2582.0
9,2023.09.04,2584.0
10,2023.09.01,2563.0
11,2023.08.31,2556.0
12,2023.08.30,2561.0
13,2023.08.29,2552.0
14,2023.08.28,2543.0
15,2023.08.25,2519.0
16,2023.08.24,2537.0
17,2023.08.23,2505.0
18,2023.08.22,2515.0
19,2023.08.21,2508.0
20,2023.08.18,2504.0
21,2023.08.17,2519.0
22,2023.08.16,2525.0
23,2023.08.14,2570.0
24,2023.08.11,2591.0
25,2023.08.10,2601.0
26,2023.08.09,2605.0
27,2023.08.08,2573.0
28,2023.08.07,2580.0
29,2023.08.04,2602.0
30,2023.08.03,2605.0
31,2023.08.02,2616.0
32,2023.08.01,2667.0
33,2023.07.31,2632.0
34,2023.07.28,2608.0
35,2023.07.27,2603.0
36,2023.07.26,2592.0
37,2023.07.25,2636.0
38,2023.07.24,2628.0
39,2023.07.21,2609.0
40,2023.07.20,2600.0
41,2023.07.19,2608.0
42,2023.07.18,2607.0
43,2023.07.17,2619.0
44,2023.07.14,2628.0
45,2023.07.13,2591.0
46,2023.07.12,2574.0
47,2023.07.11,2562.0
48,2023.07.10,2520.0
49,2023.07.07,2526.0
50,2023.07.06,2556.0
51,2023.07.05,2579.0
52,2023.07.04,2593.0
53,2023.07.03,2602.0
54,2023.06.30,2564.0
55,2023.06.29,2550.0
56,2023.06.28,2564.0
57,2023.06.27,2581.0
58,2023.06.26,2582.0
59,2023.06.23,2570.0
60,2023.06.22,2593.0
61,2023.06.21,2582.0
62,2023.06.20,2604.0
63,2023.06.19,2609.0
64,2023.06.16,2625.0
65,2023.06.15,2608.0
66,2023.06.14,2619.0
67,2023.06.13,2637.0
68,2023.06.12,2629.0
69,2023.06.09,2641.0
70,2023.06.08,2610.0
71,2023.06.07,2615.0
72,2023.06.05,2615.0
73,2023.06.02,2601.0
74,2023.06.01,2569.0
75,2023.05.31,2577.0
76,2023.05.30,2585.0
77,2023.05.26,2558.0
78,2023.05.25,2554.0
79,2023.05.24,2567.0
80,2023.05.23,2567.0
81,2023.05.22,2557.0
82,2023.05.19,2537.0
83,2023.05.18,2515.0
84,2023.05.17,2494.0
85,2023.05.16,2480.0
86,2023.05.15,2479.0
87,2023.05.12,2475.0
88,2023.05.11,2491.0
89,2023.05.10,2496.0
90,2023.05.09,2510.0
91,2023.05.08,2513.0
92,2023.05.04,2500.0
93,2023.05.03,2501.0
94,2023.05.02,2524.0
95,2023.04.28,2501.0
96,2023.04.27,2495.0
97,2023.04.26,2484.0
98,2023.04.25,2489.0
99,2023.04.24,2523.0
100,2023.04.21,2544.0
101,2023.04.20,2563.0
102,2023.04.19,2575.0
103,2023.04.18,2571.0
104,2023.04.17,2575.0
105,2023.04.14,2571.0
106,2023.04.13,2561.0
107,2023.04.12,2550.0
108,2023.04.11,2547.0
109,2023.04.10,2512.0
110,2023.04.07,2490.0
111,2023.04.06,2459.0
112,2023.04.05,2495.0
113,2023.04.04,2480.0
114,2023.04.03,2472.0
115,2023.03.31,2476.0
116,2023.03.30,2453.0
117,2023.03.29,2443.0
118,2023.03.28,2434.0
119,2023.03.27,2409.0
120,2023.03.24,2414.0
121,2023.03.23,2424.0
122,2023.03.22,2416.0
123,2023.03.21,2388.0
124,2023.03.20,2379.0
125,2023.03.17,2395.0
126,2023.03.16,2377.0
127,2023.03.15,2379.0
128,2023.03.14,2348.0
129,2023.03.13,2410.0
130,2023.03.10,2394.0
131,2023.03.09,2419.0
132,2023.03.08,2431.0
133,2023.03.07,2463.0
134,2023.03.06,2462.0
