,date,kosdaq
0,2023.09.15,899.0
1,2023.09.14,899.0
2,2023.09.13,882.0
3,2023.09.12,898.0
4,2023.09.11,912.0
5,2023.09.08,914.0
6,2023.09.07,906.0
7,2023.09.06,917.0
8,2023.09.05,921.0
9,2023.09.04,919.0
10,2023.09.01,919.0
11,2023.08.31,928.0
12,2023.08.30,923.0
13,2023.08.29,916.0
14,2023.08.28,909.0
15,2023.08.25,899.0
16,2023.08.24,901.0
17,2023.08.23,882.0
18,2023.08.22,893.0
19,2023.08.21,888.0
20,2023.08.18,877.0
21,2023.08.17,886.0
22,2023.08.16,878.0
23,2023.08.14,901.0
24,2023.08.11,912.0
25,2023.08.10,911.0
26,2023.08.09,908.0
27,2023.08.08,892.0
28,2023.08.07,898.0
29,2023.08.04,918.0
30,2023.08.03,920.0
31,2023.08.02,909.0
32,2023.08.01,939.0
33,2023.07.31,935.0
34,2023.07.28,913.0
35,2023.07.27,883.0
36,2023.07.26,900.0
37,2023.07.25,939.0
38,2023.07.24,929.0
39,2023.07.21,934.0
40,2023.07.20,931.0
41,2023.07.19,923.0
42,2023.07.18,914.0
43,2023.07.17,898.0
44,2023.07.14,896.0
45,2023.07.13,893.0
46,2023.07.12,879.0
47,2023.07.11,878.0
48,2023.07.10,860.0
49,2023.07.07,867.0
50,2023.07.06,870.0
51,2023.07.05,891.0
52,2023.07.04,890.0
53,2023.07.03,889.0
54,2023.06.30,868.0
55,2023.06.29,861.0
56,2023.06.28,866.0
57,2023.06.27,874.0
58,2023.06.26,879.0
59,2023.06.23,874.0
60,2023.06.22,876.0
61,2023.06.21,875.0
62,2023.06.20,886.0
63,2023.06.19,888.0
64,2023.06.16,887.0
65,2023.06.15,878.0
66,2023.06.14,871.0
67,2023.06.13,896.0
68,2023.06.12,885.0
69,2023.06.09,883.0
70,2023.06.08,876.0
71,2023.06.07,880.0
72,2023.06.05,870.0
73,2023.06.02,868.0
74,2023.06.01,863.0
75,2023.05.31,856.0
76,2023.05.30,851.0
77,2023.05.26,843.0
78,2023.05.25,847.0
79,2023.05.24,855.0
80,2023.05.23,859.0
81,2023.05.22,852.0
82,2023.05.19,841.0
83,2023.05.18,835.0
84,2023.05.17,834.0
85,2023.05.16,816.0
86,2023.05.15,814.0
87,2023.05.12,822.0
88,2023.05.11,824.0
89,2023.05.10,829.0
90,2023.05.09,835.0
91,2023.05.08,842.0
92,2023.05.04,845.0
93,2023.05.03,843.0
94,2023.05.02,855.0
95,2023.04.28,842.0
96,2023.04.27,850.0
97,2023.04.26,830.0
98,2023.04.25,838.0
99,2023.04.24,855.0
100,2023.04.21,868.0
101,2023.04.20,885.0
102,2023.04.19,909.0
103,2023.04.18,909.0
104,2023.04.17,909.0
105,2023.04.14,903.0
106,2023.04.13,894.0
107,2023.04.12,890.0
108,2023.04.11,898.0
109,2023.04.10,887.0
110,2023.04.07,880.0
111,2023.04.06,865.0
112,2023.04.05,872.0
113,2023.04.04,857.0
114,2023.04.03,854.0
115,2023.03.31,847.0
116,2023.03.30,850.0
117,2023.03.29,843.0
118,2023.03.28,833.0
119,2023.03.27,827.0
120,2023.03.24,824.0
121,2023.03.23,812.0
122,2023.03.22,813.0
123,2023.03.21,802.0
124,2023.03.20,802.0
125,2023.03.17,797.0
126,2023.03.16,781.0
127,2023.03.15,781.0
128,2023.03.14,758.0
129,2023.03.13,788.0
130,2023.03.10,788.0
131,2023.03.09,809.0
132,2023.03.08,813.0
133,2023.03.07,815.0
134,2023.03.06,816.0
135,2023.03.03,802.0
136,2023.03.02,787.0
137,2023.02.28,791.0
138,2023.02.27,780.0
139,2023.02.24,778.0
140,2023.02.23,783.0
141,2023.02.22,778.0
142,2023.02.21,793.0
143,2023.02.20,788.0
144,2023.02.17,775.0
145,2023.02.16,784.0
146,2023.02.15,765.0
147,2023.02.14,779.0
148,2023.02.13,772.0
149,2023.02.10,772.0
150,2023.02.09,784.0
151,2023.02.08,779.0
152,2023.02.07,772.0
153,2023.02.06,761.0
154,2023.02.03,766.0
155,2023.02.02,764.0
156,2023.02.01,750.0
157,2023.01.31,740.0
158,2023.01.30,738.0
159,2023.01.27,741.0
160,2023.01.26,738.0
161,2023.01.25,732.0
162,2023.01.20,717.0
163,2023.01.19,712.0
164,2023.01.18,711.0
165,2023.01.17,709.0
166,2023.01.16,716.0
167,2023.01.13,711.0
168,2023.01.12,710.0
169,2023.01.11,709.0
170,2023.01.10,696.0
171,2023.01.09,701.0
172,2023.01.06,688.0
173,2023.01.05,679.0
174,2023.01.04,683.0
175,2023.01.03,674.0
176,2023.01.02,671.0
177,2022.12.29,679.0
178,2022.12.28,692.0
179,2022.12.27,704.0
180,2022.12.26,694.0
181,2022.12.23,691.0
182,2022.12.22,715.0
183,2022.12.21,705.0
184,2022.12.20,703.0
185,2022.12.19,717.0
186,2022.12.16,717.0
187,2022.12.15,722.0
188,2022.12.14,729.0
189,2022.12.13,715.0
190,2022.12.12,715.0
191,2022.12.09,719.0
192,2022.12.08,712.0
193,2022.12.07,718.0
194,2022.12.06,719.0
195,2022.12.05,733.0
196,2022.12.02,732.0
197,2022.12.01,740.0
198,2022.11.30,729.0
199,2022.11.29,727.0
200,2022.11.28,717.0
201,2022.11.25,733.0
202,2022.11.24,738.0
203,2022.11.23,725.0
204,2022.11.22,712.0
205,2022.11.21,718.0
206,2022.11.18,731.0
207,2022.11.17,737.0
208,2022.11.16,743.0
209,2022.11.15,744.0
210,2022.11.14,729.0
211,2022.11.11,731.0
212,2022.11.10,707.0
213,2022.11.09,714.0
214,2022.11.08,713.0
215,2022.11.07,700.0
216,2022.11.04,693.0
217,2022.11.03,694.0
218,2022.11.02,697.0
219,2022.11.01,700.0
220,2022.10.31,695.0
221,2022.10.28,687.0
222,2022.10.27,695.0
223,2022.10.26,683.0
224,2022.10.25,688.0
225,2022.10.24,688.0
226,2022.10.21,674.0
227,2022.10.20,680.0
228,2022.10.19,690.0
229,2022.10.18,697.0
230,2022.10.17,682.0
231,2022.10.14,678.0
232,2022.10.13,651.0
233,2022.10.12,671.0
234,2022.10.11,669.0
235,2022.10.07,698.0
236,2022.10.06,706.0
237,2022.10.05,685.0
238,2022.10.04,696.0
239,2022.09.30,672.0
240,2022.09.29,675.0
241,2022.09.28,673.0
242,2022.09.27,698.0
243,2022.09.26,692.0
244,2022.09.23,729.0
245,2022.09.22,751.0
246,2022.09.21,754.0
247,2022.09.20,760.0
248,2022.09.19,751.0
249,2022.09.16,770.0
250,2022.09.15,781.0
251,2022.09.14,782.0
252,2022.09.13,796.0
253,2022.09.08,777.0
254,2022.09.07,768.0
255,2022.09.06,779.0
256,2022.09.05,771.0
257,2022.09.02,785.0
258,2022.09.01,788.0
259,2022.08.31,807.0
260,2022.08.30,797.0
261,2022.08.29,779.0
262,2022.08.26,802.0
263,2022.08.25,807.0
264,2022.08.24,793.0
265,2022.08.23,783.0
266,2022.08.22,795.0
267,2022.08.19,814.0
268,2022.08.18,826.0
269,2022.08.17,827.0
270,2022.08.16,834.0
271,2022.08.12,831.0
272,2022.08.11,832.0
273,2022.08.10,820.0
274,2022.08.09,833.0
275,2022.08.08,830.0
276,2022.08.05,831.0
277,2022.08.04,825.0
278,2022.08.03,815.0
279,2022.08.02,804.0
280,2022.08.01,807.0
281,2022.07.29,803.0
282,2022.07.28,798.0
283,2022.07.27,795.0
284,2022.07.26,789.0
285,2022.07.25,789.0
286,2022.07.22,789.0
287,2022.07.21,795.0
288,2022.07.20,790.0
289,2022.07.19,782.0
290,2022.07.18,776.0
291,2022.07.15,762.0
292,2022.07.14,766.0
293,2022.07.13,763.0
294,2022.07.12,750.0
295,2022.07.11,767.0
296,2022.07.08,766.0
297,2022.07.07,757.0
298,2022.07.06,744.0
299,2022.07.05,750.0
300,2022.07.04,722.0
301,2022.07.01,729.0
302,2022.06.30,745.0
303,2022.06.29,762.0
304,2022.06.28,769.0
305,2022.06.27,770.0
306,2022.06.24,750.0
307,2022.06.23,714.0
308,2022.06.22,746.0
309,2022.06.21,778.0
310,2022.06.20,769.0
311,2022.06.17,798.0
312,2022.06.16,802.0
313,2022.06.15,799.0
314,2022.06.14,823.0
315,2022.06.13,828.0
316,2022.06.10,869.0
317,2022.06.09,877.0
318,2022.06.08,874.0
319,2022.06.07,873.0
320,2022.06.03,891.0
321,2022.06.02,891.0
322,2022.05.31,893.0
323,2022.05.30,886.0
324,2022.05.27,873.0
325,2022.05.26,871.0
326,2022.05.25,872.0
327,2022.05.24,865.0
328,2022.05.23,883.0
329,2022.05.20,879.0
330,2022.05.19,863.0
331,2022.05.18,871.0
332,2022.05.17,865.0
333,2022.05.16,856.0
334,2022.05.13,853.0
335,2022.05.12,833.0
336,2022.05.11,866.0
337,2022.05.10,856.0
338,2022.05.09,860.0
339,2022.05.06,884.0
340,2022.05.04,900.0
341,2022.05.03,907.0
342,2022.05.02,901.0
343,2022.04.29,904.0
344,2022.04.28,892.0
345,2022.04.27,896.0
346,2022.04.26,911.0
347,2022.04.25,899.0
348,2022.04.22,922.0
349,2022.04.21,929.0
350,2022.04.20,928.0
351,2022.04.19,931.0
352,2022.04.18,918.0
353,2022.04.15,924.0
354,2022.04.14,928.0
355,2022.04.13,927.0
356,2022.04.12,913.0
357,2022.04.11,921.0
358,2022.04.08,934.0
359,2022.04.07,927.0
360,2022.04.06,943.0
361,2022.04.05,952.0
362,2022.04.04,947.0
363,2022.04.01,940.0
364,2022.03.31,944.0
365,2022.03.30,939.0
366,2022.03.29,937.0
367,2022.03.28,927.0
368,2022.03.25,934.0
369,2022.03.24,931.0
370,2022.03.23,930.0
371,2022.03.22,924.0
372,2022.03.21,918.0
373,2022.03.18,922.0
374,2022.03.17,914.0
375,2022.03.16,891.0
376,2022.03.15,871.0
377,2022.03.14,872.0
378,2022.03.11,891.0
379,2022.03.10,889.0
380,2022.03.08,870.0
381,2022.03.07,881.0
382,2022.03.04,900.0
383,2022.03.03,912.0
384,2022.03.02,895.0
385,2022.02.28,881.0
386,2022.02.25,872.0
387,2022.02.24,848.0
388,2022.02.23,877.0
389,2022.02.22,868.0
390,2022.02.21,884.0
391,2022.02.18,881.0
392,2022.02.17,874.0
393,2022.02.16,878.0
394,2022.02.15,839.0
395,2022.02.14,852.0
396,2022.02.11,877.0
397,2022.02.10,895.0
