,date,kosdaq
242,2020.08.07,857.0
243,2020.08.06,854.0
244,2020.08.05,847.0
245,2020.08.04,835.0
246,2020.08.03,827.0
247,2020.07.31,815.0
248,2020.07.30,814.0
249,2020.07.29,808.0
250,2020.07.28,807.0
251,2020.07.27,801.0
252,2020.07.24,794.0
253,2020.07.23,801.0
254,2020.07.22,794.0
255,2020.07.21,790.0
256,2020.07.20,781.0
257,2020.07.17,783.0
258,2020.07.16,775.0
259,2020.07.15,781.0
260,2020.07.14,778.0
261,2020.07.13,781.0
262,2020.07.10,772.0
263,2020.07.09,772.0
264,2020.07.08,765.0
265,2020.07.07,759.0
266,2020.07.06,759.0
267,2020.07.03,752.0
268,2020.07.02,742.0
269,2020.07.01,727.0
270,2020.06.30,737.0
271,2020.06.29,734.0
272,2020.06.26,750.0
273,2020.06.25,750.0
274,2020.06.24,759.0
275,2020.06.23,753.0
276,2020.06.22,751.0
277,2020.06.19,742.0
278,2020.06.18,737.0
279,2020.06.17,735.0
280,2020.06.16,735.0
281,2020.06.15,693.0
282,2020.06.12,746.0
283,2020.06.11,757.0
284,2020.06.10,758.0
285,2020.06.09,753.0
286,2020.06.08,753.0
287,2020.06.05,749.0
288,2020.06.04,742.0
289,2020.06.03,737.0
290,2020.06.02,743.0
291,2020.06.01,735.0
292,2020.05.29,713.0
293,2020.05.28,708.0
294,2020.05.27,724.0
295,2020.05.26,729.0
296,2020.05.25,719.0
297,2020.05.22,708.0
298,2020.05.21,716.0
299,2020.05.20,708.0
300,2020.05.19,696.0
301,2020.05.18,690.0
302,2020.05.15,691.0
303,2020.05.14,690.0
304,2020.05.13,691.0
305,2020.05.12,684.0
306,2020.05.11,685.0
307,2020.05.08,682.0
308,2020.05.07,668.0
309,2020.05.06,658.0
310,2020.05.04,641.0
311,2020.04.29,645.0
312,2020.04.28,644.0
313,2020.04.27,646.0
314,2020.04.24,632.0
315,2020.04.23,643.0
316,2020.04.22,635.0
317,2020.04.21,628.0
318,2020.04.20,637.0
319,2020.04.17,634.0
320,2020.04.16,623.0
321,2020.04.14,610.0
322,2020.04.13,596.0
323,2020.04.10,611.0
324,2020.04.09,615.0
325,2020.04.08,607.0
326,2020.04.07,606.0
327,2020.04.06,597.0
328,2020.04.03,573.0
329,2020.04.02,567.0
330,2020.04.01,551.0
331,2020.03.31,569.0
332,2020.03.30,542.0
333,2020.03.27,522.0
334,2020.03.26,516.0
335,2020.03.25,505.0
336,2020.03.24,480.0
337,2020.03.23,443.0
338,2020.03.20,467.0
339,2020.03.19,428.0
340,2020.03.18,485.0
341,2020.03.17,514.0
342,2020.03.16,504.0
343,2020.03.13,524.0
344,2020.03.12,563.0
345,2020.03.11,595.0
346,2020.03.10,619.0
347,2020.03.09,614.0
348,2020.03.06,642.0
349,2020.03.05,650.0
350,2020.03.04,641.0
351,2020.03.03,626.0
352,2020.03.02,627.0
353,2020.02.28,610.0
354,2020.02.27,638.0
355,2020.02.26,654.0
356,2020.02.25,656.0
357,2020.02.24,639.0
358,2020.02.21,667.0
359,2020.02.20,681.0
360,2020.02.19,684.0
361,2020.02.18,682.0
362,2020.02.17,692.0
