new_dates,dates
2019.12.08,4
2019.12.09,9
2019.12.10,6
2019.12.11,4
2019.12.12,8
2019.12.13,9
2019.12.14,4
2019.12.15,7
2019.12.16,4
2019.12.17,8
2019.12.18,3
2019.12.19,8
2019.12.20,5
2019.12.21,5
2019.12.22,1
2019.12.23,13
2019.12.24,5
2019.12.25,3
2019.12.26,3
2019.12.27,2
2019.12.28,5
2019.12.29,7
2019.12.30,10
2019.12.31,8
2020.01.01,6
2020.01.02,1
2020.01.03,4
2020.01.04,3
2020.01.05,4
2020.01.06,5
2020.01.07,9
2020.01.08,5
2020.01.09,5
2020.01.10,4
2020.01.11,4
2020.01.12,2
2020.01.13,2
2020.01.14,5
2020.01.15,9
2020.01.16,7
2020.01.17,9
2020.01.18,4
2020.01.19,5
2020.01.20,4
2020.01.21,6
2020.01.22,6
2020.01.23,6
2020.01.24,3
2020.01.25,2
2020.01.26,4
2020.01.27,4
2020.01.28,7
2020.01.29,6
2020.01.30,6
2020.01.31,10
2020.02.01,4
2020.02.02,15
2020.02.03,4
2020.02.04,12
2020.02.05,6
2020.02.06,10
2020.02.07,10
2020.02.08,9
2020.02.09,6
2020.02.10,4
2020.02.11,7
2020.02.12,10
2020.02.13,16
2020.02.14,9
2020.02.15,9
2020.02.16,6
2020.02.17,6
2020.02.18,6
2020.02.19,7
2020.02.20,9
2020.02.21,3
2020.02.22,8
2020.02.23,10
2020.02.24,9
2020.02.25,8
2020.02.26,5
2020.02.27,4
2020.02.28,8
2020.02.29,2
2020.03.01,4
2020.03.02,3
2020.03.03,12
2020.03.04,5
2020.03.05,4
2020.03.06,5
2020.03.07,4
2020.03.08,2
2020.03.09,12
2020.03.10,5
2020.03.11,8
2020.03.12,13
2020.03.13,33
2020.03.14,3
2020.03.15,4
2020.03.16,10
2020.03.17,9
2020.03.18,4
2020.03.19,9
2020.03.20,9
2020.03.21,3
2020.03.22,1
2020.03.23,4
2020.03.24,5
2020.03.25,6
2020.03.26,6
2020.03.27,3
2020.03.28,5
2020.03.30,8
2020.03.31,4
2020.04.01,7
2020.04.02,5
2020.04.03,4
2020.04.04,4
2020.04.05,3
2020.04.06,3
2020.04.07,4
2020.04.08,7
2020.04.09,6
2020.04.10,4
2020.04.11,2
2020.04.12,3
2020.04.13,7
2020.04.14,2
2020.04.15,1
2020.04.16,7
2020.04.17,5
2020.04.18,5
2020.04.19,2
2020.04.20,1
2020.04.21,6
2020.04.22,4
2020.04.23,4
2020.04.24,2
2020.04.25,2
2020.04.26,4
2020.04.27,3
2020.04.28,10
2020.04.29,5
2020.04.30,14
2020.05.01,5
2020.05.02,8
2020.05.03,4
2020.05.04,5
2020.05.05,4
2020.05.06,3
2020.05.07,4
2020.05.08,3
2020.05.09,7
2020.05.10,3
2020.05.11,5
2020.05.12,6
2020.05.13,5
2020.05.14,3
2020.05.15,3
2020.05.16,1
2020.05.17,2
2020.05.18,2
2020.05.19,2
2020.05.20,4
2020.05.21,2
2020.05.22,2
2020.05.23,3
2020.05.24,4
2020.05.25,2
2020.05.26,2
2020.05.27,2
2020.05.28,4
2020.05.29,3
2020.05.31,3
2020.06.01,2
2020.06.02,4
2020.06.03,5
2020.06.04,5
2020.06.05,4
2020.06.06,6
2020.06.08,1
2020.06.09,2
2020.06.10,3
2020.06.11,5
2020.06.12,3
2020.06.13,3
